Date,FRME
2017-02-15,32.250946044921875
2017-02-16,32.38941192626953
2017-02-17,31.61239242553711
2017-02-21,31.766260147094727
2017-02-22,31.88935089111328
2017-02-23,32.15861511230469
2017-02-24,32.08168411254883
2017-02-27,31.620079040527344
2017-02-28,30.86612892150879
2017-03-01,31.406681060791016
2017-03-02,30.564943313598633
2017-03-03,30.97422981262207
2017-03-06,30.92789077758789
2017-03-07,31.09006690979004
2017-03-08,30.734840393066406
2017-03-09,31.012840270996094
2017-03-10,30.788894653320312
2017-03-13,30.82750701904297
2017-03-14,30.781169891357422
2017-03-15,30.734840393066406
2017-03-16,31.175018310546875
2017-03-17,31.175018310546875
2017-03-20,30.727121353149414
2017-03-21,29.30621337890625
2017-03-22,28.950984954833984
2017-03-23,29.337100982666016
2017-03-24,29.39887809753418
2017-03-27,29.275318145751953
2017-03-28,29.8544921875
2017-03-29,29.591934204101562
2017-03-30,30.60356903076172
2017-03-31,30.36416244506836
2017-04-03,30.0321044921875
2017-04-04,30.171110153198242
2017-04-05,29.653717041015625
2017-04-06,29.877655029296875
2017-04-07,29.730941772460938
2017-04-10,29.460655212402344
2017-04-11,29.962602615356445
2017-04-12,29.429759979248047
2017-04-13,28.649818420410156
2017-04-17,29.406606674194336
2017-04-18,29.56104278564453
2017-04-19,29.877655029296875
2017-04-20,30.804349899291992
2017-04-21,31.082347869873047
2017-04-24,31.99357795715332
2017-04-25,32.279300689697266
2017-04-26,32.51095962524414
2017-04-27,32.371978759765625
2017-04-28,31.954957962036133
2017-05-01,32.611366271972656
2017-05-02,32.09397506713867
2017-05-03,31.9240779876709
2017-05-04,32.371978759765625
2017-05-05,32.124855041503906
2017-05-08,32.29473876953125
2017-05-09,32.225242614746094
2017-05-10,32.10169219970703
2017-05-11,31.561126708984375
2017-05-12,31.360353469848633
2017-05-15,31.59974479675293
2017-05-16,31.615182876586914
2017-05-17,30.495447158813477
2017-05-18,30.897005081176758
2017-05-19,30.6499080657959
2017-05-22,31.074623107910156
2017-05-23,31.321725845336914
2017-05-24,31.60746192932129
2017-05-25,31.499345779418945
2017-05-26,31.460729598999023
2017-05-30,30.92017936706543
2017-05-31,30.788301467895508
2017-06-01,30.927927017211914
2017-06-02,31.18391990661621
2017-06-05,30.904651641845703
2017-06-06,30.687463760375977
