Date,FIBK
2016-03-17,18.18366050720215
2016-03-18,18.359575271606445
2016-03-21,18.41168975830078
2016-03-22,18.50942039489746
2016-03-23,18.398658752441406
2016-03-24,18.346542358398438
2016-03-28,18.41168975830078
2016-03-29,18.555025100708008
2016-03-30,18.737442016601562
2016-03-31,18.326990127563477
2016-04-01,18.405176162719727
2016-04-04,18.20972442626953
2016-04-05,17.85791015625
2016-04-06,17.98820686340332
2016-04-07,17.727598190307617
2016-04-08,17.825334548950195
2016-04-11,17.949121475219727
2016-04-12,18.06638526916504
2016-04-13,18.737442016601562
2016-04-14,18.815629959106445
2016-04-15,18.82866096496582
2016-04-18,18.91986656188965
2016-04-19,19.063203811645508
2016-04-20,19.13486671447754
2016-04-21,18.939416885375977
2016-04-22,18.91335105895996
2016-04-25,18.965469360351562
2016-04-26,18.372600555419922
2016-04-27,18.20972442626953
2016-04-28,17.901079177856445
2016-04-29,17.7960147857666
2016-05-02,18.17688751220703
2016-05-03,17.756614685058594
2016-05-04,17.59244728088379
2016-05-05,17.454544067382812
2016-05-06,17.585880279541016
2016-05-09,17.553037643432617
2016-05-10,17.769746780395508
2016-05-11,17.86168670654297
2016-05-12,17.74348258972168
2016-05-13,17.605581283569336
2016-05-16,17.802579879760742
2016-05-17,17.605581283569336
2016-05-18,18.341062545776367
2016-05-19,18.078384399414062
2016-05-20,18.30165672302246
2016-05-23,18.321353912353516
2016-05-24,18.846702575683594
2016-05-25,19.115936279296875
2016-05-26,18.932071685791016
2016-05-27,19.161914825439453
2016-05-31,19.024005889892578
2016-06-01,19.22757911682129
2016-06-02,19.14877700805664
2016-06-03,18.925506591796875
2016-06-06,19.063404083251953
2016-06-07,18.89266586303711
2016-06-08,19.109378814697266
2016-06-09,18.88610076904297
2016-06-10,18.7219295501709
2016-06-13,18.47239112854004
2016-06-14,18.124353408813477
2016-06-15,18.025854110717773
2016-06-16,17.874814987182617
2016-06-17,17.97332000732422
2016-06-20,18.308223724365234
2016-06-21,18.314788818359375
2016-06-22,18.28196144104004
2016-06-23,18.85983657836914
2016-06-24,17.66468048095703
2016-06-27,17.40857696533203
2016-06-28,17.658117294311523
2016-06-29,18.06525421142578
2016-06-30,18.452695846557617
2016-07-01,18.196590423583984
2016-07-05,17.78944969177246
2016-07-06,17.986452102661133
2016-07-07,18.00615119934082
2016-07-08,18.235990524291992
2016-07-11,18.51836585998535
2016-07-12,18.872968673706055
2016-07-13,18.754772186279297
2016-07-14,18.905807495117188
2016-07-15,18.997737884521484
2016-07-18,18.813867568969727
2016-07-19,18.813867568969727
2016-07-20,18.68909454345703
2016-07-21,18.46582794189453
2016-07-22,18.702232360839844
2016-07-25,18.629995346069336
2016-07-26,19.069971084594727
2016-07-27,19.142208099365234
2016-07-28,19.281164169311523
2016-07-29,19.21499252319336
2016-08-01,18.976791381835938
2016-08-02,19.09589195251465
2016-08-03,19.228233337402344
2016-08-04,19.21499252319336
2016-08-05,19.757564544677734
2016-08-08,19.598766326904297
2016-08-09,19.711244583129883
2016-08-10,19.453197479248047
2016-08-11,19.552438735961914
2016-08-12,19.572290420532227
2016-08-15,19.757564544677734
2016-08-16,19.678163528442383
2016-08-17,19.711244583129883
2016-08-18,19.94283103942871
2016-08-19,19.909753799438477
2016-08-22,19.96930503845215
2016-08-23,19.909753799438477
2016-08-24,19.995765686035156
2016-08-25,20.12148094177246
2016-08-26,20.088401794433594
2016-08-29,20.154563903808594
2016-08-30,20.353065490722656
2016-08-31,20.33983612060547
2016-09-01,20.313373565673828
2016-09-02,20.511871337890625
2016-09-06,20.260440826416016
2016-09-07,20.544954299926758
2016-09-08,20.551570892333984
2016-09-09,20.353065490722656
2016-09-12,20.392772674560547
2016-09-13,20.095022201538086
2016-09-14,19.94944953918457
2016-09-15,20.200883865356445
2016-09-16,20.485410690307617
2016-09-19,21.113990783691406
2016-09-20,21.352197647094727
2016-09-21,21.252948760986328
2016-09-22,21.319116592407227
2016-09-23,21.16693115234375
2016-09-26,20.558185577392578
2016-09-27,20.776548385620117
2016-09-28,20.895645141601562
2016-09-29,20.61774253845215
2016-09-30,20.84932518005371
2016-10-03,20.750076293945312
2016-10-04,21.067684173583984
2016-10-05,21.39189910888672
2016-10-06,21.286022186279297
2016-10-07,21.173547744750977
2016-10-10,21.305883407592773
2016-10-11,21.173547744750977
2016-10-12,21.372047424316406
2016-10-13,20.776548385620117
2016-10-14,21.008121490478516
2016-10-17,20.875791549682617
2016-10-18,21.074291229248047
2016-10-19,21.272794723510742
2016-10-20,21.107372283935547
2016-10-21,20.908876419067383
2016-10-24,21.107372283935547
2016-10-25,21.074291229248047
2016-10-26,21.272794723510742
2016-10-27,21.419361114501953
2016-10-28,21.152870178222656
2016-10-31,21.252805709838867
2016-11-01,21.252805709838867
2016-11-02,20.75313377380371
2016-11-03,21.019624710083008
2016-11-04,21.052940368652344
2016-11-07,21.485990524291992
2016-11-08,21.45268440246582
2016-11-09,22.518648147583008
2016-11-10,23.751176834106445
2016-11-11,24.683902740478516
2016-11-14,25.183582305908203
2016-11-15,25.350133895874023
2016-11-16,25.51669692993164
2016-11-17,25.58332633972168
2016-11-18,24.017675399780273
2016-11-21,24.38409996032715
2016-11-22,24.45072364807129
2016-11-23,24.88377571105957
2016-11-25,24.983715057373047
2016-11-28,24.817155838012695
2016-11-29,24.8504638671875
