Date,APG
2023-07-05,17.886667251586914
2023-07-06,17.48666763305664
2023-07-07,17.606666564941406
2023-07-10,18.053333282470703
2023-07-11,18.440000534057617
2023-07-12,18.65333366394043
2023-07-13,18.893333435058594
2023-07-14,18.81333351135254
2023-07-17,18.98666763305664
2023-07-18,19.139999389648438
2023-07-19,19.053333282470703
2023-07-20,18.979999542236328
2023-07-21,18.85333251953125
2023-07-24,18.793333053588867
2023-07-25,18.81999969482422
2023-07-26,18.786666870117188
2023-07-27,18.773332595825195
2023-07-28,18.860000610351562
2023-07-31,19.17333221435547
2023-08-01,19.440000534057617
2023-08-02,19.260000228881836
2023-08-03,18.97333335876465
2023-08-04,18.746667861938477
2023-08-07,18.766666412353516
2023-08-08,18.959999084472656
2023-08-09,18.82666778564453
2023-08-10,18.700000762939453
2023-08-11,18.68000030517578
2023-08-14,18.959999084472656
2023-08-15,18.84666633605957
2023-08-16,18.69333267211914
2023-08-17,18.433332443237305
2023-08-18,18.6200008392334
2023-08-21,18.406667709350586
2023-08-22,18.233333587646484
2023-08-23,18.540000915527344
2023-08-24,18.166667938232422
2023-08-25,18.31333351135254
2023-08-28,18.393333435058594
2023-08-29,18.639999389648438
2023-08-30,18.733333587646484
2023-08-31,18.766666412353516
2023-09-01,18.940000534057617
2023-09-05,18.393333435058594
2023-09-06,18.260000228881836
2023-09-07,18.19333267211914
2023-09-08,17.940000534057617
2023-09-11,17.920000076293945
2023-09-12,17.940000534057617
2023-09-13,17.68666648864746
2023-09-14,18.066667556762695
2023-09-15,17.68666648864746
2023-09-18,17.67333221435547
2023-09-19,17.520000457763672
2023-09-20,17.46666717529297
2023-09-21,16.873332977294922
2023-09-22,17.0
2023-09-25,17.100000381469727
2023-09-26,17.040000915527344
2023-09-27,17.426666259765625
2023-09-28,17.479999542236328
2023-09-29,17.286666870117188
2023-10-02,16.953332901000977
2023-10-03,16.946666717529297
2023-10-04,17.073333740234375
2023-10-05,17.333332061767578
2023-10-06,17.48666763305664
2023-10-09,17.553333282470703
2023-10-10,17.726667404174805
2023-10-11,17.899999618530273
2023-10-12,17.573333740234375
2023-10-13,17.106666564941406
2023-10-16,17.433332443237305
2023-10-17,17.700000762939453
2023-10-18,16.866666793823242
2023-10-19,16.866666793823242
2023-10-20,16.866666793823242
2023-10-23,16.8799991607666
2023-10-24,16.873332977294922
2023-10-25,16.753332138061523
2023-10-26,16.959999084472656
2023-10-27,16.96666717529297
2023-10-30,17.14666748046875
2023-10-31,17.246667861938477
2023-11-01,17.18666648864746
2023-11-02,18.333332061767578
2023-11-03,18.426666259765625
2023-11-06,18.213333129882812
2023-11-07,17.906667709350586
2023-11-08,17.946666717529297
2023-11-09,18.093332290649414
2023-11-10,18.726667404174805
2023-11-13,18.786666870117188
2023-11-14,19.31333351135254
2023-11-15,19.393333435058594
2023-11-16,19.433332443237305
2023-11-17,19.706666946411133
2023-11-20,19.766666412353516
2023-11-21,19.713333129882812
2023-11-22,19.873332977294922
2023-11-24,19.98666763305664
2023-11-27,20.260000228881836
2023-11-28,19.85333251953125
2023-11-29,20.166667938232422
2023-11-30,20.233333587646484
2023-12-01,20.706666946411133
2023-12-04,20.266666412353516
2023-12-05,20.239999771118164
2023-12-06,20.18000030517578
2023-12-07,20.219999313354492
2023-12-08,20.53333282470703
2023-12-11,20.913333892822266
2023-12-12,21.0
2023-12-13,21.413333892822266
2023-12-14,22.01333236694336
2023-12-15,22.213333129882812
2023-12-18,22.459999084472656
2023-12-19,22.68000030517578
2023-12-20,22.406667709350586
2023-12-21,22.50666618347168
2023-12-22,22.8799991607666
2023-12-26,23.126667022705078
2023-12-27,23.166667938232422
2023-12-28,23.18666648864746
2023-12-29,23.066667556762695
2024-01-02,21.920000076293945
2024-01-03,20.459999084472656
2024-01-04,20.399999618530273
2024-01-05,20.65999984741211
2024-01-08,21.15999984741211
2024-01-09,20.600000381469727
2024-01-10,20.793333053588867
2024-01-11,20.97333335876465
2024-01-12,21.00666618347168
2024-01-16,21.0
2024-01-17,20.96666717529297
2024-01-18,21.19333267211914
2024-01-19,21.253332138061523
2024-01-22,21.546667098999023
2024-01-23,21.366666793823242
2024-01-24,21.066667556762695
2024-01-25,21.3799991607666
2024-01-26,21.53333282470703
2024-01-29,21.553333282470703
2024-01-30,21.65999984741211
2024-01-31,21.01333236694336
2024-02-01,22.073333740234375
2024-02-02,22.406667709350586
2024-02-05,22.206666946411133
2024-02-06,22.386667251586914
2024-02-07,22.766666412353516
2024-02-08,23.246667861938477
2024-02-09,23.459999084472656
2024-02-12,23.51333236694336
2024-02-13,22.766666412353516
2024-02-14,23.299999237060547
2024-02-15,23.700000762939453
2024-02-16,23.280000686645508
2024-02-20,23.100000381469727
2024-02-21,23.0
2024-02-22,23.406667709350586
2024-02-23,23.51333236694336
2024-02-26,23.860000610351562
2024-02-27,23.81333351135254
2024-02-28,23.333332061767578
2024-02-29,23.366666793823242
2024-03-01,24.906667709350586
2024-03-04,25.600000381469727
2024-03-05,25.46666717529297
2024-03-06,25.586666107177734
2024-03-07,26.166667938232422
2024-03-08,25.953332901000977
2024-03-11,25.726667404174805
2024-03-12,25.793333053588867
2024-03-13,25.666667938232422
2024-03-14,25.239999771118164
2024-03-15,25.366666793823242
2024-03-18,25.18666648864746
2024-03-19,25.3799991607666
2024-03-20,25.52666664123535
2024-03-21,26.0
2024-03-22,25.933332443237305
2024-03-25,25.81999969482422
2024-03-26,25.586666107177734
2024-03-27,26.360000610351562
2024-03-28,26.18000030517578
2024-04-01,25.933332443237305
2024-04-02,25.733333587646484
2024-04-03,26.01333236694336
2024-04-04,25.873332977294922
2024-04-05,26.19333267211914
2024-04-08,26.3799991607666
2024-04-09,26.34000015258789
2024-04-10,25.926666259765625
2024-04-11,26.253332138061523
2024-04-12,25.706666946411133
2024-04-15,26.18666648864746
2024-04-16,26.073333740234375
2024-04-17,24.706666946411133
2024-04-18,24.920000076293945
2024-04-19,24.65333366394043
2024-04-22,24.80666732788086
2024-04-23,25.606666564941406
2024-04-24,25.00666618347168
2024-04-25,25.1200008392334
2024-04-26,25.393333435058594
2024-04-29,25.65333366394043
2024-04-30,25.713333129882812
2024-05-01,25.219999313354492
2024-05-02,24.893333435058594
2024-05-03,24.633333206176758
2024-05-06,24.940000534057617
2024-05-07,25.213333129882812
2024-05-08,24.933332443237305
2024-05-09,25.059999465942383
2024-05-10,24.886667251586914
2024-05-13,24.553333282470703
2024-05-14,24.666667938232422
2024-05-15,24.780000686645508
2024-05-16,24.213333129882812
2024-05-17,23.886667251586914
2024-05-20,23.940000534057617
2024-05-21,24.413333892822266
2024-05-22,24.059999465942383
2024-05-23,23.946666717529297
2024-05-24,24.273332595825195
2024-05-28,23.833332061767578
2024-05-29,23.566667556762695
2024-05-30,23.50666618347168
2024-05-31,23.760000228881836
2024-06-03,23.906667709350586
2024-06-04,25.066667556762695
2024-06-05,25.00666618347168
2024-06-06,24.98666763305664
2024-06-07,24.899999618530273
2024-06-10,25.126667022705078
2024-06-11,24.913333892822266
2024-06-12,25.753332138061523
2024-06-13,25.540000915527344
2024-06-14,25.373332977294922
2024-06-17,25.546667098999023
2024-06-18,25.719999313354492
2024-06-20,25.546667098999023
2024-06-21,25.5
2024-06-24,25.566667556762695
2024-06-25,25.639999389648438
2024-06-26,25.18000030517578
2024-06-27,25.64666748046875
2024-06-28,25.086666107177734
2024-07-01,24.219999313354492
2024-07-02,24.34666633605957
2024-07-03,24.593332290649414
2024-07-05,24.593332290649414
2024-07-08,24.48666763305664
2024-07-09,24.31999969482422
2024-07-10,24.64666748046875
2024-07-11,25.126667022705078
2024-07-12,25.30666732788086
2024-07-15,25.19333267211914
2024-07-16,25.579999923706055
2024-07-17,24.32666778564453
2024-07-18,24.68000030517578
2024-07-19,24.479999542236328
2024-07-22,25.19333267211914
2024-07-23,25.440000534057617
2024-07-24,24.239999771118164
2024-07-25,24.32666778564453
2024-07-26,24.793333053588867
2024-07-29,24.633333206176758
2024-07-30,24.81333351135254
2024-07-31,25.260000228881836
2024-08-01,24.166667938232422
2024-08-02,22.886667251586914
2024-08-05,21.739999771118164
2024-08-06,22.133333206176758
2024-08-07,21.52666664123535
2024-08-08,22.453332901000977
2024-08-09,22.53333282470703
2024-08-12,22.19333267211914
2024-08-13,22.446666717529297
2024-08-14,22.626667022705078
2024-08-15,23.0
2024-08-16,22.80666732788086
2024-08-19,23.133333206176758
2024-08-20,23.093332290649414
2024-08-21,23.446666717529297
2024-08-22,23.3799991607666
2024-08-23,23.84000015258789
2024-08-26,23.733333587646484
2024-08-27,23.726667404174805
2024-08-28,23.399999618530273
2024-08-29,23.46666717529297
2024-08-30,23.700000762939453
2024-09-03,22.613332748413086
2024-09-04,22.286666870117188
2024-09-05,22.053333282470703
2024-09-06,21.8799991607666
2024-09-09,21.82666778564453
2024-09-10,21.81999969482422
2024-09-11,22.53333282470703
2024-09-12,22.68666648864746
2024-09-13,22.979999542236328
2024-09-16,22.96666717529297
2024-09-17,23.066667556762695
2024-09-18,23.14666748046875
2024-09-19,23.866666793823242
2024-09-20,23.479999542236328
2024-09-23,22.99333381652832
2024-09-24,22.65999984741211
2024-09-25,21.97333335876465
2024-09-26,22.633333206176758
2024-09-27,22.426666259765625
2024-09-30,22.01333236694336
2024-10-01,21.579999923706055
2024-10-02,21.64666748046875
2024-10-03,20.99333381652832
2024-10-04,21.420000076293945
2024-10-07,21.333332061767578
2024-10-08,21.386667251586914
2024-10-09,21.786666870117188
2024-10-10,21.69333267211914
2024-10-11,22.100000381469727
2024-10-14,22.253332138061523
2024-10-15,22.3799991607666
2024-10-16,22.453332901000977
2024-10-17,22.67333221435547
2024-10-18,22.65999984741211
2024-10-21,22.899999618530273
2024-10-22,22.52666664123535
2024-10-23,22.3799991607666
2024-10-24,22.799999237060547
2024-10-25,21.893333435058594
2024-10-28,21.913333892822266
2024-10-29,22.626667022705078
2024-10-30,22.139999389648438
2024-10-31,22.760000228881836
2024-11-01,23.559999465942383
2024-11-04,23.5
2024-11-05,23.406667709350586
2024-11-06,24.65333366394043
2024-11-07,24.5
2024-11-08,24.733333587646484
2024-11-11,24.579999923706055
2024-11-12,24.639999389648438
2024-11-13,24.34666633605957
2024-11-14,24.139999389648438
2024-11-15,23.579999923706055
2024-11-18,23.80666732788086
2024-11-19,23.833332061767578
2024-11-20,24.0
2024-11-21,24.666667938232422
2024-11-22,24.67333221435547
2024-11-25,25.5
2024-11-26,25.086666107177734
2024-11-27,25.03333282470703
2024-11-29,25.18666648864746
2024-12-02,25.100000381469727
2024-12-03,25.100000381469727
2024-12-04,25.666667938232422
2024-12-05,25.80666732788086
2024-12-06,25.733333587646484
2024-12-09,26.079999923706055
2024-12-10,26.133333206176758
2024-12-11,26.17333221435547
2024-12-12,25.46666717529297
2024-12-13,25.086666107177734
2024-12-16,25.03333282470703
2024-12-17,25.84666633605957
2024-12-18,24.69333267211914
2024-12-19,24.399999618530273
2024-12-20,24.626667022705078
2024-12-23,24.3799991607666
2024-12-24,24.47333335876465
