Date,PRTA
2016-04-20,45.06999969482422
2016-04-21,47.470001220703125
2016-04-22,48.099998474121094
2016-04-25,47.09000015258789
2016-04-26,44.599998474121094
2016-04-27,44.099998474121094
2016-04-28,43.040000915527344
2016-04-29,43.189998626708984
2016-05-02,43.869998931884766
2016-05-03,41.560001373291016
2016-05-04,38.59000015258789
2016-05-05,38.7599983215332
2016-05-06,38.31999969482422
2016-05-09,39.040000915527344
2016-05-10,40.7400016784668
2016-05-11,39.540000915527344
2016-05-12,38.43000030517578
2016-05-13,40.68000030517578
2016-05-16,42.9900016784668
2016-05-17,41.099998474121094
2016-05-18,41.77000045776367
2016-05-19,40.72999954223633
2016-05-20,42.5
2016-05-23,44.189998626708984
2016-05-24,46.0
2016-05-25,47.54999923706055
2016-05-26,46.060001373291016
2016-05-27,46.560001373291016
2016-05-31,48.540000915527344
2016-06-01,47.88999938964844
2016-06-02,50.31999969482422
2016-06-03,48.40999984741211
2016-06-06,50.41999816894531
2016-06-07,48.79999923706055
2016-06-08,49.0099983215332
2016-06-09,47.40999984741211
2016-06-10,46.52000045776367
2016-06-13,45.7599983215332
2016-06-14,44.849998474121094
2016-06-15,45.439998626708984
2016-06-16,43.72999954223633
2016-06-17,39.86000061035156
2016-06-20,40.9900016784668
2016-06-21,39.20000076293945
2016-06-22,38.16999816894531
2016-06-23,40.54999923706055
2016-06-24,35.47999954223633
2016-06-27,33.810001373291016
2016-06-28,36.189998626708984
2016-06-29,36.75
2016-06-30,34.959999084472656
2016-07-01,38.45000076293945
2016-07-05,39.540000915527344
2016-07-06,40.54999923706055
2016-07-07,41.72999954223633
2016-07-08,44.0099983215332
2016-07-11,44.369998931884766
2016-07-12,47.650001525878906
2016-07-13,43.459999084472656
2016-07-14,45.63999938964844
2016-07-15,48.7599983215332
2016-07-18,49.91999816894531
2016-07-19,48.7400016784668
2016-07-20,52.95000076293945
2016-07-21,53.349998474121094
2016-07-22,53.16999816894531
2016-07-25,52.220001220703125
2016-07-26,51.61000061035156
2016-07-27,55.459999084472656
2016-07-28,55.40999984741211
2016-07-29,55.04999923706055
2016-08-01,56.65999984741211
2016-08-02,55.61000061035156
2016-08-03,58.27000045776367
2016-08-04,58.41999816894531
2016-08-05,57.97999954223633
2016-08-08,56.68000030517578
2016-08-09,57.099998474121094
2016-08-10,55.0
2016-08-11,56.720001220703125
2016-08-12,57.790000915527344
2016-08-15,58.20000076293945
2016-08-16,55.88999938964844
2016-08-17,55.5099983215332
2016-08-18,55.33000183105469
2016-08-19,54.939998626708984
2016-08-22,54.34000015258789
2016-08-23,54.189998626708984
2016-08-24,50.02000045776367
2016-08-25,49.380001068115234
2016-08-26,50.029998779296875
2016-08-29,50.06999969482422
2016-08-30,50.52000045776367
2016-08-31,49.97999954223633
2016-09-01,52.209999084472656
2016-09-02,52.189998626708984
2016-09-06,54.5099983215332
2016-09-07,55.33000183105469
2016-09-08,55.349998474121094
2016-09-09,51.959999084472656
2016-09-12,54.970001220703125
2016-09-13,53.20000076293945
2016-09-14,53.86000061035156
2016-09-15,55.79999923706055
2016-09-16,58.43000030517578
2016-09-19,61.099998474121094
2016-09-20,61.41999816894531
2016-09-21,62.06999969482422
2016-09-22,63.599998474121094
2016-09-23,62.540000915527344
2016-09-26,62.0
2016-09-27,63.0099983215332
2016-09-28,61.369998931884766
2016-09-29,58.13999938964844
2016-09-30,59.970001220703125
2016-10-03,59.7599983215332
2016-10-04,61.810001373291016
2016-10-05,62.91999816894531
2016-10-06,61.290000915527344
2016-10-07,61.02000045776367
2016-10-10,62.63999938964844
2016-10-11,58.650001525878906
2016-10-12,54.36000061035156
2016-10-13,54.849998474121094
2016-10-14,53.54999923706055
2016-10-17,51.79999923706055
2016-10-18,53.689998626708984
2016-10-19,53.20000076293945
2016-10-20,55.20000076293945
2016-10-21,54.470001220703125
2016-10-24,53.27000045776367
2016-10-25,52.43000030517578
2016-10-26,51.43000030517578
2016-10-27,51.290000915527344
2016-10-28,51.54999923706055
2016-10-31,47.81999969482422
2016-11-01,47.93000030517578
2016-11-02,45.130001068115234
2016-11-03,40.720001220703125
2016-11-04,43.86000061035156
2016-11-07,46.849998474121094
2016-11-08,47.54999923706055
2016-11-09,56.099998474121094
2016-11-10,59.790000915527344
2016-11-11,63.599998474121094
2016-11-14,67.63999938964844
2016-11-15,66.3499984741211
2016-11-16,64.36000061035156
2016-11-17,64.81999969482422
2016-11-18,64.55999755859375
2016-11-21,65.4800033569336
2016-11-22,59.90999984741211
2016-11-23,63.22999954223633
2016-11-25,64.26000213623047
2016-11-28,60.4900016784668
2016-11-29,60.189998626708984
2016-11-30,59.02000045776367
2016-12-01,54.63999938964844
2016-12-02,53.880001068115234
2016-12-05,54.75
2016-12-06,56.02000045776367
2016-12-07,53.189998626708984
2016-12-08,54.84000015258789
2016-12-09,54.689998626708984
2016-12-12,53.90999984741211
2016-12-13,52.77000045776367
2016-12-14,52.779998779296875
2016-12-15,52.459999084472656
2016-12-16,53.279998779296875
2016-12-19,51.16999816894531
2016-12-20,51.84000015258789
2016-12-21,50.27000045776367
2016-12-22,48.15999984741211
2016-12-23,50.41999816894531
2016-12-27,50.52000045776367
2016-12-28,49.0099983215332
2016-12-29,49.59000015258789
2016-12-30,49.189998626708984
2017-01-03,49.790000915527344
2017-01-04,52.529998779296875
2017-01-05,53.279998779296875
2017-01-06,55.380001068115234
2017-01-09,54.31999969482422
2017-01-10,53.0
2017-01-11,49.810001373291016
2017-01-12,50.52000045776367
2017-01-13,50.5099983215332
2017-01-17,47.38999938964844
2017-01-18,47.810001373291016
2017-01-19,48.880001068115234
2017-01-20,49.779998779296875
2017-01-23,49.7400016784668
2017-01-24,49.34000015258789
