Date,NGNE
2018-10-31,51.599998474121094
2018-11-01,54.20000076293945
2018-11-02,53.0
2018-11-05,51.400001525878906
2018-11-06,52.20000076293945
2018-11-07,50.599998474121094
2018-11-08,50.400001525878906
2018-11-09,46.79999923706055
2018-11-12,45.20000076293945
2018-11-13,44.79999923706055
2018-11-14,43.0
2018-11-15,42.70000076293945
2018-11-16,43.20000076293945
2018-11-19,44.0
2018-11-20,44.0
2018-11-21,44.0
2018-11-23,45.20000076293945
2018-11-26,45.400001525878906
2018-11-27,47.20000076293945
2018-11-28,47.20000076293945
2018-11-29,45.20000076293945
2018-11-30,47.400001525878906
2018-12-03,49.400001525878906
2018-12-04,49.0
2018-12-06,47.79999923706055
2018-12-07,46.0
2018-12-10,46.5
2018-12-11,46.400001525878906
2018-12-12,46.599998474121094
2018-12-13,45.400001525878906
2018-12-14,45.79999923706055
2018-12-17,46.20000076293945
2018-12-18,46.0
2018-12-19,45.79999923706055
2018-12-20,44.0
2018-12-21,42.20000076293945
2018-12-24,42.400001525878906
2018-12-26,41.599998474121094
2018-12-27,42.0
2018-12-28,41.400001525878906
2018-12-31,43.20000076293945
2019-01-02,46.599998474121094
2019-01-03,44.599998474121094
2019-01-04,48.599998474121094
2019-01-07,49.20000076293945
2019-01-08,48.79999923706055
2019-01-09,50.20000076293945
2019-01-10,48.599998474121094
2019-01-11,49.0
2019-01-14,48.0
2019-01-15,46.20000076293945
2019-01-16,47.20000076293945
2019-01-17,47.20000076293945
2019-01-18,47.65999984741211
2019-01-22,47.79999923706055
2019-01-23,46.0
2019-01-24,46.400001525878906
2019-01-25,46.20000076293945
2019-01-28,45.599998474121094
2019-01-29,45.0
2019-01-30,44.79999923706055
2019-01-31,46.0
2019-02-01,47.79999923706055
2019-02-04,46.79999923706055
2019-02-05,46.70000076293945
2019-02-06,48.0
2019-02-07,49.0
2019-02-08,49.0
2019-02-11,48.79999923706055
2019-02-12,50.400001525878906
2019-02-13,51.599998474121094
2019-02-14,53.599998474121094
2019-02-15,53.599998474121094
2019-02-19,52.400001525878906
2019-02-20,51.79999923706055
2019-02-21,51.20000076293945
2019-02-22,51.099998474121094
2019-02-25,52.0
2019-02-26,54.20000076293945
2019-02-27,53.20000076293945
2019-02-28,52.79999923706055
2019-03-01,55.599998474121094
2019-03-04,55.20000076293945
2019-03-05,53.599998474121094
2019-03-06,47.20000076293945
2019-03-07,53.400001525878906
2019-03-08,53.400001525878906
2019-03-11,53.20000076293945
2019-03-12,53.0
2019-03-13,53.400001525878906
2019-03-14,52.79999923706055
2019-03-15,54.599998474121094
2019-03-18,54.400001525878906
2019-03-19,54.400001525878906
2019-03-20,55.599998474121094
2019-03-21,55.79999923706055
2019-03-22,54.400001525878906
2019-03-25,53.400001525878906
2019-03-26,53.79999923706055
2019-03-27,54.0
2019-03-28,53.79999923706055
2019-03-29,53.900001525878906
2019-04-01,54.599998474121094
2019-04-02,53.400001525878906
2019-04-03,53.400001525878906
2019-04-04,53.400001525878906
2019-04-05,52.599998474121094
2019-04-08,54.0
2019-04-09,52.599998474121094
2019-04-10,52.79999923706055
2019-04-11,52.20000076293945
2019-04-12,51.400001525878906
2019-04-15,51.0
2019-04-16,52.400001525878906
2019-04-17,51.599998474121094
2019-04-18,51.79999923706055
2019-04-22,53.0
2019-04-23,53.20000076293945
2019-04-24,54.599998474121094
2019-04-25,54.400001525878906
2019-04-26,53.400001525878906
2019-04-29,54.0
2019-04-30,53.400001525878906
2019-05-01,53.400001525878906
2019-05-02,54.20000076293945
2019-05-03,53.79999923706055
2019-05-06,55.0
2019-05-07,53.599998474121094
2019-05-08,55.400001525878906
2019-05-09,55.400001525878906
2019-05-10,55.400001525878906
2019-05-13,54.599998474121094
2019-05-14,53.70000076293945
2019-05-15,54.0
2019-05-16,54.20000076293945
2019-05-17,53.599998474121094
2019-05-20,53.599998474121094
2019-05-21,53.599998474121094
2019-05-22,52.400001525878906
2019-05-23,51.400001525878906
2019-05-24,52.400001525878906
2019-05-28,52.400001525878906
2019-05-29,53.0
2019-05-30,53.20000076293945
2019-05-31,52.20000076293945
2019-06-03,51.599998474121094
2019-06-04,49.79999923706055
2019-06-05,46.599998474121094
2019-06-06,45.79999923706055
2019-06-07,47.599998474121094
2019-06-10,48.400001525878906
2019-06-11,46.400001525878906
2019-06-12,46.0
2019-06-13,45.400001525878906
2019-06-14,46.0
2019-06-17,45.70000076293945
2019-06-18,46.79999923706055
2019-06-19,46.400001525878906
2019-06-20,47.79999923706055
2019-06-21,46.79999923706055
2019-06-24,47.599998474121094
2019-06-25,47.599998474121094
2019-06-26,48.0
2019-06-27,47.79999923706055
2019-06-28,47.20000076293945
2019-07-01,46.599998474121094
2019-07-02,48.20000076293945
2019-07-03,47.79999923706055
2019-07-05,47.20000076293945
2019-07-08,48.599998474121094
2019-07-09,48.400001525878906
2019-07-10,47.599998474121094
2019-07-11,48.0
2019-07-12,48.20000076293945
2019-07-15,49.0
2019-07-16,50.20000076293945
2019-07-17,48.79999923706055
2019-07-18,49.400001525878906
2019-07-19,48.599998474121094
2019-07-22,49.20000076293945
2019-07-23,55.20000076293945
2019-07-24,55.20000076293945
2019-07-25,53.0
2019-07-26,54.599998474121094
2019-07-29,52.20000076293945
2019-07-30,54.400001525878906
2019-07-31,53.400001525878906
2019-08-01,57.20000076293945
2019-08-02,58.0
2019-08-05,57.599998474121094
2019-08-06,58.400001525878906
2019-08-07,65.5999984741211
2019-08-08,69.4000015258789
2019-08-09,73.5999984741211
2019-08-12,73.5999984741211
2019-08-13,73.5999984741211
2019-08-14,73.5999984741211
2019-08-15,73.5999984741211
2019-08-16,73.5999984741211
2019-08-19,73.5999984741211
2019-08-20,75.19999694824219
2019-08-21,74.0
2019-08-22,72.19999694824219
2019-08-23,71.30000305175781
2019-08-26,68.0
2019-08-27,67.80000305175781
2019-08-28,62.400001525878906
2019-08-29,69.80000305175781
2019-08-30,66.80000305175781
2019-09-03,56.0
2019-09-04,53.20000076293945
2019-09-05,53.599998474121094
2019-09-06,53.0
2019-09-09,58.0
2019-09-10,62.20000076293945
2019-09-11,64.5999984741211
2019-09-12,68.80000305175781
2019-09-13,70.5999984741211
2019-09-16,70.9000015258789
2019-09-17,70.80000305175781
2019-09-18,73.4000015258789
2019-09-19,66.80000305175781
2019-09-20,66.5999984741211
2019-09-23,64.19999694824219
2019-09-24,64.0
2019-09-25,64.80000305175781
2019-09-26,63.20000076293945
2019-09-27,61.0
2019-09-30,57.0
2019-10-01,56.400001525878906
2019-10-02,56.20000076293945
2019-10-03,58.79999923706055
2019-10-04,57.400001525878906
2019-10-07,57.20000076293945
2019-10-08,55.79999923706055
2019-10-09,53.0
2019-10-10,56.400001525878906
2019-10-11,57.79999923706055
2019-10-14,55.20000076293945
2019-10-15,57.099998474121094
2019-10-16,58.20000076293945
2019-10-17,54.79999923706055
