Date,CIVI
2020-02-13,12.309306144714355
2020-02-14,12.218745231628418
2020-02-18,12.378968238830566
2020-02-19,12.789976119995117
2020-02-20,13.207947731018066
2020-02-21,13.047722816467285
2020-02-24,12.267509460449219
2020-02-25,11.563921928405762
2020-02-26,11.138980865478516
2020-02-27,10.045286178588867
2020-02-28,11.347970008850098
2020-03-02,13.29850959777832
2020-03-03,12.713347434997559
2020-03-04,13.173115730285645
2020-03-05,12.288407325744629
2020-03-06,10.81157112121582
2020-03-09,7.2448649406433105
2020-03-10,8.178339004516602
2020-03-11,7.530481338500977
2020-03-12,7.237899303436279
2020-03-13,7.551379203796387
2020-03-16,7.823060512542725
2020-03-17,8.011151313781738
2020-03-18,6.590041160583496
2020-03-19,7.530481338500977
2020-03-20,7.356325149536133
2020-03-23,7.391157627105713
2020-03-24,8.805299758911133
2020-03-25,9.118780136108398
2020-03-26,8.20620346069336
2020-03-27,6.994083404541016
2020-03-30,6.374088764190674
2020-03-31,7.836996078491211
2020-04-01,8.045981407165527
2020-04-02,9.487988471984863
2020-04-03,9.780570030212402
2020-04-06,9.460123062133789
2020-04-07,9.634279251098633
2020-04-08,10.442359924316406
2020-04-09,10.867300987243652
2020-04-13,10.727972984313965
2020-04-14,9.801467895507812
2020-04-15,9.766636848449707
2020-04-16,8.993386268615723
2020-04-17,9.815400123596191
2020-04-20,9.21630573272705
2020-04-21,8.56844711303711
2020-04-22,9.982589721679688
2020-04-23,10.128880500793457
2020-04-24,10.372698783874512
2020-04-27,10.198541641235352
2020-04-28,10.414493560791016
2020-04-29,11.347970008850098
2020-04-30,12.163015365600586
2020-05-01,11.76594066619873
2020-05-04,12.204813003540039
2020-05-05,12.016724586486816
2020-05-06,11.563921928405762
2020-05-07,11.926163673400879
2020-05-08,12.002792358398438
2020-05-11,11.710209846496582
2020-05-12,11.549988746643066
2020-05-13,10.81157112121582
2020-05-14,10.909095764160156
2020-05-15,11.159881591796875
2020-05-18,12.142117500305176
2020-05-19,11.118082046508789
2020-05-20,11.313136100769043
2020-05-21,11.041454315185547
2020-05-22,11.334035873413086
2020-05-26,11.494260787963867
2020-05-27,11.654480934143066
2020-05-28,11.431563377380371
2020-05-29,11.772909164428711
2020-06-01,13.061657905578613
2020-06-02,13.159183502197266
2020-06-03,13.103453636169434
2020-06-04,13.194019317626953
2020-06-05,13.584125518798828
2020-06-08,15.221185684204102
2020-06-09,14.371304512023926
2020-06-10,14.336475372314453
2020-06-11,13.368171691894531
2020-06-12,13.535362243652344
2020-06-15,13.598055839538574
2020-06-16,13.159183502197266
2020-06-17,12.490428924560547
2020-06-18,12.225711822509766
2020-06-19,11.863470077514648
2020-06-22,11.515158653259277
2020-06-23,11.368866920471191
2020-06-24,10.721009254455566
2020-06-25,10.74190616607666
2020-06-26,9.787535667419434
2020-06-29,10.344834327697754
2020-06-30,10.323934555053711
2020-07-01,10.553818702697754
2020-07-02,11.013591766357422
2020-07-06,10.76977252960205
2020-07-07,10.57471752166748
2020-07-08,10.651346206665039
2020-07-09,10.247305870056152
2020-07-10,10.623481750488281
2020-07-13,10.539888381958008
2020-07-14,10.99965763092041
2020-07-15,11.466391563415527
2020-07-16,11.7520112991333
2020-07-17,12.072453498840332
2020-07-20,12.190879821777344
2020-07-21,13.200982093811035
2020-07-22,13.180082321166992
2020-07-23,13.256714820861816
2020-07-24,13.284575462341309
2020-07-27,13.075589179992676
2020-07-28,12.643682479858398
2020-07-29,12.734248161315918
2020-07-30,12.539191246032715
2020-07-31,12.671550750732422
2020-08-03,12.65761661529541
2020-08-04,12.95716667175293
2020-08-05,13.16614818572998
2020-08-06,13.80704402923584
2020-08-07,13.793109893798828
2020-08-10,15.005234718322754
2020-08-11,14.23198127746582
2020-08-12,14.169289588928223
2020-08-13,14.071760177612305
2020-08-14,14.434004783630371
2020-08-17,14.350408554077148
2020-08-18,14.754446983337402
2020-08-19,14.608158111572266
2020-08-20,14.280747413635254
2020-08-21,13.800076484680176
2020-08-24,14.538494110107422
2020-08-25,14.601188659667969
2020-08-26,13.883671760559082
2020-08-27,14.12749195098877
2020-08-28,14.155351638793945
2020-08-31,13.960296630859375
2020-09-01,13.779180526733398
2020-09-02,13.4099702835083
2020-09-03,13.465699195861816
2020-09-04,13.4099702835083
2020-09-08,12.783008575439453
2020-09-09,13.277610778808594
2020-09-10,12.5879545211792
2020-09-11,12.873566627502441
2020-09-14,13.326372146606445
2020-09-15,13.451766967773438
2020-09-16,14.204115867614746
2020-09-17,14.176253318786621
2020-09-18,14.16231918334961
2020-09-21,13.556257247924805
2020-09-22,13.040760040283203
2020-09-23,12.601887702941895
2020-09-24,12.664583206176758
2020-09-25,13.152217864990234
2020-09-28,13.653788566589355
2020-09-29,13.63288688659668
2020-09-30,13.096489906311035
2020-10-01,12.72031307220459
2020-10-02,12.971097946166992
2020-10-05,13.702550888061523
2020-10-06,13.361205101013184
2020-10-07,13.71648120880127
