Date,NU
2023-09-27,7.099999904632568
2023-09-28,7.289999961853027
2023-09-29,7.25
2023-10-02,7.050000190734863
2023-10-03,6.840000152587891
2023-10-04,7.03000020980835
2023-10-05,7.139999866485596
2023-10-06,7.380000114440918
2023-10-09,7.309999942779541
2023-10-10,7.599999904632568
2023-10-11,7.840000152587891
2023-10-12,7.789999961853027
2023-10-13,7.760000228881836
2023-10-16,7.900000095367432
2023-10-17,7.880000114440918
2023-10-18,7.710000038146973
2023-10-19,8.229999542236328
2023-10-20,8.170000076293945
2023-10-23,8.15999984741211
2023-10-24,8.079999923706055
2023-10-25,7.980000019073486
2023-10-26,7.989999771118164
2023-10-27,8.010000228881836
2023-10-30,8.079999923706055
2023-10-31,8.199999809265137
2023-11-01,8.300000190734863
2023-11-02,8.229999542236328
2023-11-03,8.479999542236328
2023-11-06,8.3100004196167
2023-11-07,8.449999809265137
2023-11-08,8.329999923706055
2023-11-09,8.260000228881836
2023-11-10,8.520000457763672
2023-11-13,8.449999809265137
2023-11-14,8.829999923706055
2023-11-15,8.170000076293945
2023-11-16,7.849999904632568
2023-11-17,8.069999694824219
2023-11-20,8.149999618530273
2023-11-21,8.15999984741211
2023-11-22,8.100000381469727
2023-11-24,8.210000038146973
2023-11-27,8.15999984741211
2023-11-28,8.100000381469727
2023-11-29,8.220000267028809
2023-11-30,8.140000343322754
2023-12-01,8.300000190734863
2023-12-04,8.180000305175781
2023-12-05,8.210000038146973
2023-12-06,8.149999618530273
2023-12-07,8.140000343322754
2023-12-08,8.220000267028809
2023-12-11,8.180000305175781
2023-12-12,8.199999809265137
2023-12-13,8.550000190734863
2023-12-14,8.4399995803833
2023-12-15,8.300000190734863
2023-12-18,8.329999923706055
2023-12-19,8.4399995803833
2023-12-20,8.100000381469727
2023-12-21,8.229999542236328
2023-12-22,8.220000267028809
2023-12-26,8.300000190734863
2023-12-27,8.329999923706055
2023-12-28,8.369999885559082
2023-12-29,8.329999923706055
2024-01-02,8.130000114440918
2024-01-03,8.09000015258789
2024-01-04,8.239999771118164
2024-01-05,8.569999694824219
2024-01-08,8.890000343322754
2024-01-09,8.930000305175781
2024-01-10,9.079999923706055
2024-01-11,9.069999694824219
2024-01-12,9.260000228881836
2024-01-16,9.170000076293945
2024-01-17,9.09000015258789
2024-01-18,9.050000190734863
2024-01-19,9.170000076293945
2024-01-22,8.920000076293945
2024-01-23,8.949999809265137
2024-01-24,9.0
2024-01-25,9.329999923706055
2024-01-26,9.5
2024-01-29,9.369999885559082
2024-01-30,8.779999732971191
2024-01-31,8.609999656677246
2024-02-01,9.010000228881836
2024-02-02,9.369999885559082
2024-02-05,9.270000457763672
2024-02-06,9.380000114440918
2024-02-07,9.5600004196167
2024-02-08,9.640000343322754
2024-02-09,9.890000343322754
2024-02-12,9.880000114440918
2024-02-13,9.920000076293945
2024-02-14,10.369999885559082
2024-02-15,10.460000038146973
2024-02-16,10.359999656677246
2024-02-20,10.260000228881836
2024-02-21,10.09000015258789
2024-02-22,10.359999656677246
2024-02-23,10.220000267028809
2024-02-26,10.720000267028809
2024-02-27,11.140000343322754
2024-02-28,11.069999694824219
2024-02-29,11.079999923706055
2024-03-01,11.270000457763672
2024-03-04,11.140000343322754
2024-03-05,11.100000381469727
2024-03-06,11.25
2024-03-07,11.510000228881836
2024-03-08,11.069999694824219
2024-03-11,11.550000190734863
2024-03-12,11.40999984741211
2024-03-13,11.59000015258789
2024-03-14,11.619999885559082
2024-03-15,11.609999656677246
2024-03-18,11.789999961853027
2024-03-19,11.850000381469727
2024-03-20,12.130000114440918
2024-03-21,12.239999771118164
2024-03-22,12.25
2024-03-25,12.170000076293945
2024-03-26,12.229999542236328
2024-03-27,11.949999809265137
2024-03-28,11.930000305175781
2024-04-01,11.819999694824219
2024-04-02,11.859999656677246
2024-04-03,11.90999984741211
2024-04-04,11.789999961853027
2024-04-05,11.979999542236328
2024-04-08,11.989999771118164
2024-04-09,11.819999694824219
2024-04-10,11.569999694824219
2024-04-11,11.550000190734863
2024-04-12,11.289999961853027
2024-04-15,10.949999809265137
2024-04-16,10.84000015258789
2024-04-17,10.789999961853027
2024-04-18,10.65999984741211
2024-04-19,10.479999542236328
2024-04-22,10.609999656677246
2024-04-23,10.920000076293945
2024-04-24,10.770000457763672
2024-04-25,10.869999885559082
2024-04-26,11.050000190734863
2024-04-29,11.010000228881836
2024-04-30,10.859999656677246
2024-05-01,10.880000114440918
2024-05-02,10.960000038146973
2024-05-03,11.680000305175781
2024-05-06,12.0
2024-05-07,11.989999771118164
2024-05-08,12.0
2024-05-09,11.789999961853027
2024-05-10,11.760000228881836
2024-05-13,11.380000114440918
2024-05-14,11.550000190734863
2024-05-15,12.09000015258789
2024-05-16,11.710000038146973
2024-05-17,11.65999984741211
2024-05-20,11.670000076293945
2024-05-21,12.020000457763672
2024-05-22,11.699999809265137
2024-05-23,11.569999694824219
2024-05-24,11.729999542236328
2024-05-28,12.180000305175781
2024-05-29,11.710000038146973
2024-05-30,12.170000076293945
2024-05-31,11.880000114440918
2024-06-03,11.75
2024-06-04,11.40999984741211
2024-06-05,11.710000038146973
2024-06-06,12.140000343322754
2024-06-07,11.890000343322754
2024-06-10,11.819999694824219
2024-06-11,11.65999984741211
2024-06-12,11.579999923706055
2024-06-13,11.619999885559082
2024-06-14,11.760000228881836
2024-06-17,11.829999923706055
2024-06-18,11.6899995803833
2024-06-20,12.079999923706055
2024-06-21,12.25
2024-06-24,11.859999656677246
2024-06-25,12.5
2024-06-26,12.680000305175781
2024-06-27,12.920000076293945
2024-06-28,12.890000343322754
2024-07-01,12.359999656677246
2024-07-02,12.350000381469727
2024-07-03,12.430000305175781
2024-07-05,12.819999694824219
2024-07-08,12.84000015258789
2024-07-09,13.149999618530273
2024-07-10,13.210000038146973
2024-07-11,13.25
2024-07-12,13.40999984741211
2024-07-15,13.34000015258789
2024-07-16,13.579999923706055
2024-07-17,13.220000267028809
2024-07-18,13.109999656677246
2024-07-19,13.470000267028809
2024-07-22,12.989999771118164
2024-07-23,12.869999885559082
2024-07-24,12.539999961853027
2024-07-25,12.369999885559082
2024-07-26,12.40999984741211
2024-07-29,12.220000267028809
2024-07-30,12.020000457763672
2024-07-31,12.130000114440918
2024-08-01,11.520000457763672
2024-08-02,10.920000076293945
2024-08-05,10.710000038146973
2024-08-06,11.0600004196167
2024-08-07,11.130000114440918
2024-08-08,11.890000343322754
2024-08-09,12.399999618530273
2024-08-12,12.5
2024-08-13,12.710000038146973
2024-08-14,13.380000114440918
2024-08-15,13.779999732971191
2024-08-16,14.09000015258789
2024-08-19,14.449999809265137
2024-08-20,14.449999809265137
2024-08-21,14.399999618530273
2024-08-22,14.210000038146973
2024-08-23,14.420000076293945
2024-08-26,14.630000114440918
2024-08-27,14.699999809265137
2024-08-28,14.300000190734863
2024-08-29,14.229999542236328
2024-08-30,14.970000267028809
2024-09-03,14.84000015258789
2024-09-04,14.239999771118164
2024-09-05,14.34000015258789
2024-09-06,13.699999809265137
2024-09-09,13.8100004196167
2024-09-10,13.729999542236328
2024-09-11,14.279999732971191
2024-09-12,14.510000228881836
2024-09-13,14.739999771118164
2024-09-16,14.890000343322754
2024-09-17,15.140000343322754
2024-09-18,14.850000381469727
2024-09-19,14.800000190734863
2024-09-20,14.630000114440918
2024-09-23,14.6899995803833
2024-09-24,14.800000190734863
2024-09-25,14.779999732971191
2024-09-26,13.819999694824219
2024-09-27,13.869999885559082
2024-09-30,13.649999618530273
2024-10-01,13.430000305175781
2024-10-02,13.220000267028809
2024-10-03,13.100000381469727
2024-10-04,13.229999542236328
2024-10-07,13.149999618530273
2024-10-08,13.470000267028809
2024-10-09,13.329999923706055
2024-10-10,13.430000305175781
2024-10-11,13.710000038146973
2024-10-14,14.680000305175781
2024-10-15,14.180000305175781
2024-10-16,14.109999656677246
2024-10-17,14.15999984741211
2024-10-18,14.449999809265137
2024-10-21,14.539999961853027
2024-10-22,14.539999961853027
2024-10-23,14.75
2024-10-24,15.020000457763672
2024-10-25,14.9399995803833
2024-10-28,15.479999542236328
2024-10-29,15.65999984741211
2024-10-30,15.729999542236328
2024-10-31,15.09000015258789
2024-11-01,14.34000015258789
2024-11-04,14.369999885559082
2024-11-05,14.670000076293945
2024-11-06,15.029999732971191
2024-11-07,15.220000267028809
2024-11-08,15.229999542236328
2024-11-11,15.890000343322754
2024-11-12,15.84000015258789
2024-11-13,15.640000343322754
2024-11-14,15.1899995803833
2024-11-15,14.0600004196167
2024-11-18,13.649999618530273
2024-11-19,13.460000038146973
2024-11-20,13.319999694824219
2024-11-21,13.399999618530273
2024-11-22,13.90999984741211
2024-11-25,14.229999542236328
2024-11-26,13.9399995803833
2024-11-27,13.529999732971191
2024-11-29,12.529999732971191
2024-12-02,12.0
2024-12-03,11.670000076293945
2024-12-04,12.0
2024-12-05,11.960000038146973
2024-12-06,12.029999732971191
2024-12-09,11.930000305175781
2024-12-10,11.760000228881836
2024-12-11,12.260000228881836
2024-12-12,11.989999771118164
2024-12-13,11.9399995803833
2024-12-16,11.739999771118164
2024-12-17,11.699999809265137
2024-12-18,10.399999618530273
2024-12-19,10.329999923706055
2024-12-20,10.380000114440918
2024-12-23,10.239999771118164
2024-12-24,10.369999885559082
2024-12-26,10.359999656677246
2024-12-27,10.329999923706055
2024-12-30,10.649999618530273
2024-12-31,10.359999656677246
2025-01-02,10.630000114440918
2025-01-03,10.970000267028809
2025-01-06,11.149999618530273
2025-01-07,11.15999984741211
2025-01-08,11.140000343322754
2025-01-10,10.949999809265137
2025-01-13,11.079999923706055
2025-01-14,10.90999984741211
2025-01-15,11.40999984741211
2025-01-16,11.279999732971191
2025-01-17,11.529999732971191
2025-01-21,11.479999542236328
2025-01-22,11.989999771118164
2025-01-23,12.1899995803833
2025-01-24,12.34000015258789
2025-01-27,12.319999694824219
2025-01-28,12.640000343322754
2025-01-29,12.550000190734863
2025-01-30,13.4399995803833
2025-01-31,13.239999771118164
2025-02-03,13.140000343322754
2025-02-04,13.300000190734863
2025-02-05,13.5600004196167
2025-02-06,13.779999732971191
